Observatoire des territoires - ANCT,...2,...3,...4
Taux de participation aux élections législatives (Commune (2022)),,,
,,,
,,,Législatives - Taux d'abstention au 1er tour
codgeo,libgeo,an,tx_abst_elec_leg
01001,L'Abergement-Clémenciat,2017,43.6
01001,L'Abergement-Clémenciat,2022,46.7
01002,L'Abergement-de-Varey,2017,37.4
01002,L'Abergement-de-Varey,2022,39
01004,Ambérieu-en-Bugey,2017,53
01004,Ambérieu-en-Bugey,2022,53.4
01005,Ambérieux-en-Dombes,2017,51.9
01005,Ambérieux-en-Dombes,2022,51
01006,Ambléon,2017,43.4
01006,Ambléon,2022,37.6
01007,Ambronay,2017,46.8
01007,Ambronay,2022,48.9
01008,Ambutrix,2017,46
01008,Ambutrix,2022,43.2
01009,Andert-et-Condon,2017,43.6
01009,Andert-et-Condon,2022,42.6
01010,Anglefort,2017,54
01010,Anglefort,2022,56.6
01011,Apremont,2017,36.4
01011,Apremont,2022,38.2
01012,Aranc,2017,44.6
01012,Aranc,2022,39.9
01013,Arandas,2017,35.1
01013,Arandas,2022,33.1
01014,Arbent,2017,57.9
01014,Arbent,2022,59.7
01015,Arboys en Bugey,2017,41.5
01015,Arboys en Bugey,2022,42.6
01016,Arbigny,2017,50.5
01016,Arbigny,2022,47.1
01017,Argis,2017,43.6
01017,Argis,2022,41.5
01019,Armix,2017,38.9
01019,Armix,2022,27.5
01021,Ars-sur-Formans,2017,43.3
01021,Ars-sur-Formans,2022,44.9
01022,Artemare,2017,50.6
01022,Artemare,2022,49.5
01023,Asnières-sur-Saône,2017,33.9
01023,Asnières-sur-Saône,2022,41.7
01024,Attignat,2017,54.5
01024,Attignat,2022,52.2
01025,Bâgé-Dommartin,2017,52
01025,Bâgé-Dommartin,2022,56.5
01026,Bâgé-le-Châtel,2017,45.6
01026,Bâgé-le-Châtel,2022,50
01027,Balan,2017,54.2
01027,Balan,2022,52
01028,Baneins,2017,49.7
01028,Baneins,2022,50.7
01029,Beaupont,2017,52.9
01029,Beaupont,2022,50.2
01030,Beauregard,2017,52.7
01030,Beauregard,2022,54.1
01031,Bellignat,2017,57.9
01031,Bellignat,2022,57.5
01032,Béligneux,2017,56.2
01032,Béligneux,2022,55.6
01033,Valserhône,2017,59.9
01033,Valserhône,2022,61.2
01034,Belley,2017,52.1
01034,Belley,2022,55
01035,Belleydoux,2017,47.5
01035,Belleydoux,2022,40.5
01036,Valromey-sur-Séran,2017,43.6
01036,Valromey-sur-Séran,2022,43.7
01037,Bénonces,2017,39.4
01037,Bénonces,2022,47.3
01038,Bény,2017,50.4
01038,Bény,2022,50.7
01039,Béon,2017,53.2
01039,Béon,2022,51.4
01040,Béréziat,2017,56.6
01040,Béréziat,2022,49.4
01041,Bettant,2017,45.8
01041,Bettant,2022,45.8
01042,Bey,2017,45.6
01042,Bey,2022,47.8
01043,Beynost,2017,51
01043,Beynost,2022,49.6
01044,Billiat,2017,54.8
01044,Billiat,2022,59.4
01045,Birieux,2017,55.7
01045,Birieux,2022,41.2
01046,Biziat,2017,51.9
01046,Biziat,2022,50.3
01047,Blyes,2017,51.9
01047,Blyes,2022,47.8
01049,La Boisse,2017,48.3
01049,La Boisse,2022,51
01050,Boissey,2017,51.2
01050,Boissey,2022,52.3
01051,Bolozon,2017,52
01051,Bolozon,2022,41.2
01052,Bouligneux,2017,47.4
01052,Bouligneux,2022,29.8
01053,Bourg-en-Bresse,2017,54.5
01053,Bourg-en-Bresse,2022,53.9
01054,Bourg-Saint-Christophe,2017,42.2
01054,Bourg-Saint-Christophe,2022,44.2
01056,Boyeux-Saint-Jérôme,2017,38.5
01056,Boyeux-Saint-Jérôme,2022,39.4
01057,Boz,2017,52.6
01057,Boz,2022,53.7
01058,Brégnier-Cordon,2017,50.2
01058,Brégnier-Cordon,2022,54.3
01060,Brénod,2017,44.9
01060,Brénod,2022,43.5
01061,Brens,2017,50.8
01061,Brens,2022,51
01062,Bressolles,2017,45
01062,Bressolles,2022,46
01063,Brion,2017,40.8
01063,Brion,2022,44.5
01064,Briord,2017,56.1
01064,Briord,2022,58.1
01065,Buellas,2017,49.6
01065,Buellas,2022,46.4
01066,La Burbanche,2017,46.3
01066,La Burbanche,2022,33.7
01067,Ceignes,2017,47.6
01067,Ceignes,2022,48.3
01068,Cerdon,2017,50
01068,Cerdon,2022,48.9
01069,Certines,2017,49.8
01069,Certines,2022,54.7
01071,Cessy,2017,53.4
01071,Cessy,2022,57.9
